Frequency [Hz]	S(f)
0,000	0,0017
3,662	0,00506
7,324	0,00717
10,986	0,00756
14,648	0,00754
18,311	0,00764
21,973	0,00764
25,635	0,00759
29,297	0,00764
32,959	0,00757
36,621	0,00741
40,283	0,00735
43,945	0,0073
47,607	0,00729
51,270	0,00728
54,932	0,00719
58,594	0,00713
62,256	0,00705
65,918	0,00692
69,580	0,00693
73,242	0,00707
76,904	0,00726
80,566	0,00742
84,229	0,00746
87,891	0,00733
91,553	0,00713
95,215	0,00692
98,877	0,00671
102,539	0,00664
106,201	0,00669
109,863	0,00663
113,525	0,0065
117,188	0,00657
120,850	0,00673
124,512	0,0068
128,174	0,00682
131,836	0,00684
135,498	0,00675
139,160	0,00653
142,822	0,00642
146,484	0,00646
150,146	0,00645
153,809	0,0064
157,471	0,00649
161,133	0,00651
164,795	0,00645
168,457	0,00649
172,119	0,00653
175,781	0,0065
179,443	0,00653
183,105	0,00662
186,768	0,00663
190,430	0,00664
194,092	0,00666
197,754	0,00661
201,416	0,00645
205,078	0,00624
208,740	0,00613
212,402	0,00617
216,064	0,00621
219,727	0,00615
223,389	0,00612
227,051	0,0061
230,713	0,00597
234,375	0,00584
238,037	0,00589
241,699	0,00608
245,361	0,00623
249,023	0,00617
252,686	0,00599
256,348	0,00596
260,010	0,00612
263,672	0,0062
267,334	0,00615
270,996	0,00614
274,658	0,00614
278,320	0,00611
281,982	0,00614
285,645	0,00614
289,307	0,00609
292,969	0,00606
296,631	0,006
300,293	0,00587
303,955	0,00584
307,617	0,00592
311,279	0,00594
314,941	0,00596
318,604	0,00598
322,266	0,00592
325,928	0,00588
329,590	0,00588
333,252	0,00583
336,914	0,0058
340,576	0,00586
344,238	0,006
347,900	0,006
351,563	0,00583
355,225	0,00572
358,887	0,00574
362,549	0,00581
366,211	0,00581
369,873	0,00569
373,535	0,00556
377,197	0,00548
380,859	0,00559
384,521	0,00582
388,184	0,00592
391,846	0,00579
395,508	0,00557
399,170	0,00554
402,832	0,00561
406,494	0,00559
410,156	0,00553
413,818	0,00554
417,480	0,00555
421,143	0,00552
424,805	0,00556
428,467	0,00562
432,129	0,00564
435,791	0,00572
439,453	0,00577
443,115	0,00575
446,777	0,00567
450,439	0,0055
454,102	0,00535
457,764	0,0053
461,426	0,00523
465,088	0,00515
468,750	0,00514
472,412	0,00513
476,074	0,00518
479,736	0,0053
483,398	0,00535
487,061	0,00534
490,723	0,00537
494,385	0,00542
498,047	0,00538
501,709	0,0053
505,371	0,00526
509,033	0,00525
512,695	0,00525
516,357	0,00533
520,020	0,00538
523,682	0,00531
527,344	0,00521
531,006	0,0052
534,668	0,00523
538,330	0,0053
541,992	0,00536
545,654	0,00528
549,316	0,00513
552,979	0,00506
556,641	0,00512
560,303	0,00522
563,965	0,00523
567,627	0,00519
571,289	0,00522
574,951	0,00525
578,613	0,00529
582,275	0,00533
585,938	0,00529
589,600	0,0052
593,262	0,00512
596,924	0,00511
600,586	0,0052
604,248	0,00529
607,910	0,00525
611,572	0,00517
615,234	0,00515
618,896	0,00512
622,559	0,00501
626,221	0,00497
629,883	0,00501
633,545	0,00503
637,207	0,00509
640,869	0,00522
644,531	0,00529
648,193	0,00527
651,855	0,00515
655,518	0,00505
659,180	0,00507
662,842	0,00509
666,504	0,00512
670,166	0,00518
673,828	0,0052
677,490	0,00515
681,152	0,00506
684,814	0,00498
688,477	0,00493
692,139	0,00483
695,801	0,00475
699,463	0,00472
703,125	0,00472
706,787	0,00482
710,449	0,00491
714,111	0,00487
717,773	0,00487
721,436	0,00494
725,098	0,00498
728,760	0,00501
732,422	0,00505
736,084	0,005
739,746	0,00488
743,408	0,0048
747,070	0,00478
750,732	0,00479
754,395	0,00485
758,057	0,00486
761,719	0,0048
765,381	0,00485
769,043	0,00503
772,705	0,00514
776,367	0,00502
780,029	0,00477
783,691	0,00466
787,354	0,00467
791,016	0,0047
794,678	0,00475
798,340	0,0048
802,002	0,00484
805,664	0,00483
809,326	0,00479
812,988	0,00474
816,650	0,00466
820,313	0,0046
823,975	0,00465
827,637	0,00468
831,299	0,00464
834,961	0,00465
838,623	0,00476
842,285	0,00485
845,947	0,00482
849,609	0,00474
853,271	0,0047
856,934	0,00468
860,596	0,00474
864,258	0,00484
867,920	0,00483
871,582	0,00474
875,244	0,00474
878,906	0,00487
882,568	0,00497
886,230	0,00492
889,893	0,0047
893,555	0,00448
897,217	0,00441
900,879	0,00449
904,541	0,00465
908,203	0,00473
911,865	0,00465
915,527	0,00456
919,189	0,00459
922,852	0,0046
926,514	0,00461
930,176	0,00468
933,838	0,00473
937,500	0,00468
941,162	0,0046
944,824	0,00453
948,486	0,00443
952,148	0,0044
955,811	0,00446
959,473	0,0045
963,135	0,00453
966,797	0,0046
970,459	0,00467
974,121	0,00468
977,783	0,00464
981,445	0,0046
985,107	0,00464
988,770	0,00474
992,432	0,00472
996,094	0,00451
999,756	0,00428
1003,418	0,00418
1007,080	0,00422
1010,742	0,00432
1014,404	0,0044
1018,066	0,00443
1021,729	0,00444
1025,391	0,00449
1029,053	0,00453
1032,715	0,00451
1036,377	0,00445
1040,039	0,00441
1043,701	0,00444
1047,363	0,00444
1051,025	0,0044
1054,688	0,00434
1058,350	0,00434
1062,012	0,0044
1065,674	0,00445
1069,336	0,00445
1072,998	0,00446
1076,660	0,00452
1080,322	0,00458
1083,984	0,00462
1087,646	0,00458
1091,309	0,00448
1094,971	0,00445
1098,633	0,0045
1102,295	0,00446
1105,957	0,0043
1109,619	0,00421
1113,281	0,00421
1116,943	0,00424
1120,605	0,00432
1124,268	0,00442
1127,930	0,00445
1131,592	0,00442
1135,254	0,00439
1138,916	0,00436
1142,578	0,00433
1146,240	0,00435
1149,902	0,00436
1153,564	0,00429
1157,227	0,00429
1160,889	0,00448
1164,551	0,00465
1168,213	0,00459
1171,875	0,00442
1175,537	0,00432
1179,199	0,0043
1182,861	0,00432
1186,523	0,00437
1190,186	0,00438
1193,848	0,00433
1197,510	0,00429
1201,172	0,00436
1204,834	0,00447
1208,496	0,00445
