Frequency [Hz]	S(f)
0,000	0,21
3,662	0,548
7,324	0,616
10,986	0,464
14,648	0,312
18,311	0,217
21,973	0,166
25,635	0,142
29,297	0,126
32,959	0,11
36,621	0,0987
40,283	0,0931
43,945	0,0879
47,607	0,0809
51,270	0,0741
54,932	0,07
58,594	0,0693
62,256	0,0693
65,918	0,0682
69,580	0,0671
73,242	0,0653
76,904	0,0624
80,566	0,06
84,229	0,0579
87,891	0,0566
91,553	0,0571
95,215	0,0573
98,877	0,0559
102,539	0,0538
106,201	0,0517
109,863	0,0502
113,525	0,0499
117,188	0,0504
120,850	0,0502
124,512	0,0492
128,174	0,0491
131,836	0,0504
135,498	0,0506
139,160	0,0494
142,822	0,0497
146,484	0,0507
150,146	0,0504
153,809	0,0495
157,471	0,0484
161,133	0,0476
164,795	0,0477
168,457	0,0474
172,119	0,0464
175,781	0,0456
179,443	0,0453
183,105	0,0451
186,768	0,0446
190,430	0,0453
194,092	0,0471
197,754	0,0478
201,416	0,0472
205,078	0,0469
208,740	0,0481
212,402	0,0491
216,064	0,0477
219,727	0,0457
223,389	0,045
227,051	0,0454
230,713	0,0458
234,375	0,0454
238,037	0,0448
241,699	0,0446
245,361	0,0443
249,023	0,0438
252,686	0,0439
256,348	0,0453
260,010	0,0472
263,672	0,0482
267,334	0,0478
270,996	0,0466
274,658	0,0452
278,320	0,0441
281,982	0,0436
285,645	0,0435
289,307	0,0436
292,969	0,0434
296,631	0,0428
300,293	0,0426
303,955	0,0427
307,617	0,0429
311,279	0,0434
314,941	0,0446
318,604	0,0452
322,266	0,0442
325,928	0,0432
329,590	0,0435
333,252	0,0439
336,914	0,0436
340,576	0,0429
344,238	0,0425
347,900	0,0425
351,563	0,0422
355,225	0,0418
358,887	0,0428
362,549	0,0446
366,211	0,0463
369,873	0,0467
373,535	0,0454
377,197	0,0434
380,859	0,0428
384,521	0,0438
388,184	0,0444
391,846	0,0444
395,508	0,0445
399,170	0,0437
402,832	0,0429
406,494	0,043
410,156	0,0428
413,818	0,0429
417,480	0,0439
421,143	0,0442
424,805	0,0439
428,467	0,0441
432,129	0,0445
435,791	0,0447
439,453	0,0451
443,115	0,0451
446,777	0,0439
450,439	0,0432
454,102	0,0436
457,764	0,0439
461,426	0,0443
465,088	0,0451
468,750	0,0452
472,412	0,045
476,074	0,0441
479,736	0,0436
483,398	0,0437
487,061	0,0432
490,723	0,0426
494,385	0,043
498,047	0,044
501,709	0,0444
505,371	0,0447
509,033	0,0455
512,695	0,046
516,357	0,0456
520,020	0,0447
523,682	0,0445
527,344	0,045
531,006	0,045
534,668	0,0444
538,330	0,0437
541,992	0,0436
545,654	0,0443
549,316	0,0451
552,979	0,046
556,641	0,0466
560,303	0,0454
563,965	0,0434
567,627	0,0424
571,289	0,0425
574,951	0,0431
578,613	0,043
582,275	0,0423
585,938	0,0428
589,600	0,0434
593,262	0,0424
596,924	0,0411
600,586	0,0413
604,248	0,0419
607,910	0,0427
611,572	0,0434
615,234	0,0439
618,896	0,0444
