Frequency [Hz]	S(f)
0,000	1,27
3,662	3,2
7,324	3,57
10,986	2,73
14,648	1,79
18,311	1,19
21,973	0,898
25,635	0,737
29,297	0,629
32,959	0,549
36,621	0,492
40,283	0,442
43,945	0,406
47,607	0,391
51,270	0,383
54,932	0,373
58,594	0,356
62,256	0,333
65,918	0,313
69,580	0,304
73,242	0,298
76,904	0,29
80,566	0,281
84,229	0,274
87,891	0,267
91,553	0,262
95,215	0,254
98,877	0,245
102,539	0,242
106,201	0,244
109,863	0,241
113,525	0,233
117,188	0,229
120,850	0,232
124,512	0,233
128,174	0,228
131,836	0,222
135,498	0,221
139,160	0,223
142,822	0,222
146,484	0,218
150,146	0,214
153,809	0,212
157,471	0,209
161,133	0,205
164,795	0,204
168,457	0,204
172,119	0,201
175,781	0,198
179,443	0,197
183,105	0,197
186,768	0,196
190,430	0,195
194,092	0,197
197,754	0,199
201,416	0,2
205,078	0,201
208,740	0,201
212,402	0,201
216,064	0,203
219,727	0,207
223,389	0,21
227,051	0,21
230,713	0,204
234,375	0,198
238,037	0,197
241,699	0,201
245,361	0,204
249,023	0,205
252,686	0,206
256,348	0,205
260,010	0,204
263,672	0,203
267,334	0,202
270,996	0,204
274,658	0,206
278,320	0,202
281,982	0,197
285,645	0,198
289,307	0,201
292,969	0,203
296,631	0,202
300,293	0,199
303,955	0,201
307,617	0,206
311,279	0,205
314,941	0,198
318,604	0,194
322,266	0,196
325,928	0,201
329,590	0,203
333,252	0,2
336,914	0,198
340,576	0,198
344,238	0,201
347,900	0,2
351,563	0,197
355,225	0,194
358,887	0,197
362,549	0,2
366,211	0,199
369,873	0,2
373,535	0,203
377,197	0,204
380,859	0,203
384,521	0,199
388,184	0,195
391,846	0,197
395,508	0,2
399,170	0,201
402,832	0,203
406,494	0,205
410,156	0,204
413,818	0,201
417,480	0,199
421,143	0,201
424,805	0,202
428,467	0,198
432,129	0,194
435,791	0,191
439,453	0,189
443,115	0,194
446,777	0,201
450,439	0,2
454,102	0,193
457,764	0,19
461,426	0,192
